ticker,name,aliases
ABB,ABB India Limited,ABB
AEGISLOG,Aegis Logistics Ltd.,Aegis Logistics Ltd
TPAEC,Torrent Power AEC Limited,Torrent Power AEC Ltd
AKARLAMIN,Akar Laminators Ltd.,Akar Laminators Ltd
ALPHADR,Alpha Drugs India Ltd,Alpha Drug India Ltd
ARE&M,Amara Raja Energy & Mobility Limited,Amara Raja Energy & Mobility Ltd
AMBALALSA,Ambalal Sarabhai Enterprise Ltd.,Ambalal Sarabhai Enterprises Ltd
HDFC,Housing Development Finance Corp.Lt,Housing Development Finance Corporation Ltd
AMRTMIL-BDM,Amrut Industries Ltd,Amrut Industries Ltd
ANDHRAPET,Andhra Petrochemicals Ltd.,Andhra Petrochemicals Ltd
ANSALAPI,Ansal Properties & Infrastructure Ltd.,Ansal Properties & Infrastructure Ltd
UTIQUE,UTIQUE ENTERPRISES LIMITED,Utique Enterprises Ltd
ICICIDM,ICICI Ltd.,ICICI Ltd
ARUNAHTEL,Aruna Hotels Ltd.,Aruna Hotels Ltd
ARPOLDM,Arvind Polycot Limited,ARPOLDM
BOR,Bank Of Rajasthan Ltd.,Bank of Rajasthan Ltd
BOMDYEING,Bombay Dyeing & Mfg. Co. Ltd.,Bombay Dyeing & Manufacturing Company Ltd
ASINCOF,Asian Coffee Ltd,ASINCOF
ASIANHOTNR,Asian Hotels (North) Limited,Asian Hotels (North) Ltd
ASSAMCO,Assam Company (India) Limited,Assam Company India Ltd
ASSAMBR,Assambrook Limited,Assambrook Ltd
ATSHIND,Atash Industries Ltd,Atash Industries Ltd
ATUL,Atul Limited.,Atul Ltd
ATVPR,ATV Projects India Ltd,ATV Projects India Ltd
AUTOLITIND,Autolite (India) Ltd.,Autolite (India) Ltd
AUTORIDFIN,Autoriders Finance Ltd.,Autoriders Finance Ltd
BAJAJELEC,Bajaj Electricals Ltd.,Bajaj Electricals Ltd
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Bajaj Hindusthan Sugar Ltd
FORCEMOT,Force Motors Limited,Force Motors Ltd
BAJFINANCE,Bajaj Finance Limited,Bajaj Finance Ltd
BALAJIDI,Balaji Distilleries Ltd.,Balaji Distilleries Ltd
BALAJIIND,Balaji Industrial Corporation Ltd.,Balaji Industrial Corporation Ltd
BALMERL-B,Balmer Lawrie Freight Containers Lt,Balmer Lawrie Freight Containers Ltd
BALRAMCHIN,Balrampur Chini Mills Ltd.,Balrampur Chini Mills Ltd
BANCOINDIA,Banco Products (India) Ltd.,Banco Products (India) Ltd
ABREL,ADITYA BIRLA REAL ESTATE LIMITED,Aditya Birla Real Estate Ltd
BANARISUG,Bannari Amman Sugars Ltd.,Bannari Amman Sugars Ltd
BASF,BASF India Ltd,BASF India Ltd
BATAINDIA,Bata India Limited,Bata India Ltd
RAYBAN,Rayban Sun Optics India Ltd.,Rayban Sun Optics India Ltd
BELLARYS,Bellary Steel & Alloys Ltd,Bellary Steels & Alloys Ltd
BECREL,Best & Crompton Engineering Ltd.,Best & Crompton Engineering Ltd
BETANAP,Beta Napthol Limited,Beta Napthol Ltd
BEML,BEML Ltd,BEML Ltd
BEL,Bharat Electronics Ltd.,Bharat Electronics Ltd
BHARATRA,"Bharat Rasayan Ltd.,",Bharat Rasayan Ltd
BHAGGAS,Bhagawati Gas Limited,Bhagawati Gas Ltd
BEPL,Bhansali Engineering Polymers Ltd.,Bhansali Engineering Polymers Ltd
BHAZINC,Bharat Zinc Limited,Bharat Zinc Ltd
BHRTITE-B,Bharti Telecom Ltd.(Delisted for Takeover-21(3a)),BHRTITE-B
TATASTLBSL,TATA STEEL BSL LIMITED,Tata Steel Bsl Ltd
UTIMRDM,Mastergrowth - 93 (Scheme Of UTI),UTI Master Growth 93
ABCIL,Aditya Birla Chemicals (India) Limited,Aditya Birla Chemicals (India) Ltd
BIHSPONG,Bihar Sponge Iron Ltd,Bihar Sponge Iron Ltd
BILVYAPAR,BIL VYAPAR LIMITED,Bil Vyapar Ltd
BIRLACABLE,Birla Cable Limited,Birla Cable Ltd
ANVALDM,Andhra Valley Power Supply Company,Andhra Valley Power Supply Co Ltd
ASHOKLEYFIN,Ashok Leyland Finance Ltd.,Ashok Leyland Finance Ltd
OSWALCHEM,Oswal Chemicals & Fertilizers Ltd,Oswal Chemicals & Fertilizers Ltd
BGFL,Birla Global Finance Ltd.,Birla Global Finance Ltd
BLUESTARCO,Blue Star Ltd,Blue Star Ltd
DISAQ,Disa India Ltd.,Disa India Ltd
QUESTCAP,QUEST CAPITAL MARKETS LIMITED,Quest Capital Markets Ltd
BOP,Bank Of Punjab Ltd.,Bank of Punjab Ltd
BONGAIREFN,Bongaingaon Refinery & Petrochemica,Bongaigaon Refinery & Petrochemicals Ltd
BPLENG,BPL Engineering Ltd.,BPL Engineering Ltd
BPL,BPL Ltd.,BPL Ltd
NAGARFER,Nagarjuna Fertiliser & Chem. Ltd.,Nagarjuna Fertilizers and Chemicals Ltd
BURROWEL,"Burroughs Wellcome (India) Ltd.,",Burroughs Wellcome (India) Ltd
CCI,Cable Corporation of India Ltd.,Cable Corporation of India Ltd
OAL,ORIENTAL AROMATICS LIMITED,Oriental Aromatics Ltd
CARIR,Carrier Aircon Ltd,Carrier Aircon Ltd
CAUVERSOFT,Cauvery Software Engg. Systems Ltd.,Cauvery Software Engineering Systems Ltd
CELEINT,Celeste International Ltd.,Celeste International Ltd
CENCHDM,Centak Chemicals Ltd.,Centak Chemicals Ltd
CENTEXT,Century Extrusions Ltd.,Century Extrusions Ltd
CESC,CESC Limited,CESC Ltd
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,Chambal Fertilisers & Chemicals Ltd
EXIDEIND,Exide Industries Ltd.,Exide Industries Ltd
CIPLA,Cipla Ltd.,Cipla Ltd
DICIND,DIC India Ltd,DIC India Ltd
MADUCOA,Madura Coats Ltd,Madura Coats Ltd
COREPARENT,Core Healthcare ltd.,Core Healthcare Ltd
CRISIL,CRISIL Ltd.,CRISIL Ltd
CGPOWER,CG Power and Industrial Solutions Limited,CG Power and Industrial Solutions Ltd
CTCOTTON,C.T. Cotton Yarn Ltd.,CT Cotton Yarn Ltd
WYETH,Wyeth Ltd.,Wyeth Ltd
DABUR,Dabur India Ltd.,Dabur India Ltd
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Dalmia Bharat Sugar and Industries Ltd
SKYLNEPC,Skyline NEPC Ltd,Skyline NEPC Ltd
CENTINPO,Central India Polyesters Ltd.,Central India Polyesters Ltd
DAEWOO,Daewoo Motors India Ltd.,Daewoo Motors India Ltd
ARVIND,Arvind Ltd.,Arvind Ltd
BALLARPUR,Ballarpur Industries Ltd.,Ballarpur Industries Ltd
